ranking,decile,users,treated_conversion,control_conversion,uplift,incremental_conversions_per_100k
uplift_score,1,2500,0.018876611418047883,0.012195121951219513,0.00668148946682837,668.1489466828369
uplift_score,2,2500,0.004247286455875413,0.0026246719160104987,0.0016226145398649146,162.26145398649146
uplift_score,3,2500,0.0009442870632672333,0.0,0.0009442870632672333,94.42870632672333
uplift_score,4,2500,0.0,0.0,0.0,0.0
uplift_score,5,2500,0.0,0.0,0.0,0.0
uplift_score,6,2500,0.0009372071227741331,0.0,0.0009372071227741331,93.72071227741331
uplift_score,7,2500,0.000473260766682442,0.002583979328165375,-0.0021107185614829328,-211.07185614829328
uplift_score,8,2500,0.00046948356807511736,0.002702702702702703,-0.0022332191346275854,-223.32191346275854
uplift_score,9,2500,0.0014097744360902255,0.002688172043010753,-0.0012783976069205274,-127.83976069205274
uplift_score,10,2500,0.0014218009478672985,0.0,0.0014218009478672985,142.18009478672985
response_score,1,2500,0.026170798898071626,0.015527950310559006,0.01064284858751262,1064.284858751262
response_score,2,2500,0.0018744142455482662,0.00273224043715847,-0.0008578261916102037,-85.78261916102038
response_score,3,2500,0.0,0.002551020408163265,-0.002551020408163265,-255.1020408163265
response_score,4,2500,0.0,0.0027397260273972603,-0.0027397260273972603,-273.972602739726
response_score,5,2500,0.0,0.0,0.0,0.0
response_score,6,2500,0.0,0.0,0.0,0.0
response_score,7,2500,0.0,0.0,0.0,0.0
response_score,8,2500,0.0,0.0,0.0,0.0
response_score,9,2500,0.0,0.0,0.0,0.0
response_score,10,2500,0.0004748338081671415,0.0,0.0004748338081671415,47.48338081671415
